,BREED_ID,PET_ID,GENDER,NEUTER_DATE,VISIT_DATE,VISIT_AGE,WEIGHT,BCS_RECORDED,BCS_PREDICTED,PREVENTIVE_CARE_VISIT,HEALTHY_PET_DIAGNOSIS,AV_BREED_WEIGHT,Age (Days),Age (Weeks)
5919602,1,21786,FS,2010-04-15,2010-05-19T04:00:00Z,0.392,30.844,None,None,Y,N,54.216,141.12,20.384
5959774,1,29526,M,2014-03-21,2012-12-01T05:00:00Z,0.764,43.318,None,None,N,N,54.216,275.04,39.728
5905587,1,19234,MN,2009-08-01,2009-12-12T05:00:00Z,0.786,45.359,None,None,N,N,54.216,282.96000000000004,40.872
5866060,1,10876,FS,2004-12-22,2004-12-04T05:00:00Z,0.303,17.146,None,None,Y,N,54.216,109.08,15.756
5943723,1,26260,MN,2011-10-01,2011-10-01T04:00:00Z,0.355,21.319,None,None,N,Y,54.216,127.8,18.46
5896295,1,17319,MN,2009-08-21,2009-09-17T04:00:00Z,1.131,60.282,None,None,N,N,54.216,407.16,58.812
5962686,1,30243,MN,2013-01-26,2012-12-10T05:00:00Z,0.46,30.572,Normal,None,N,N,54.216,165.6,23.92
5830435,1,1942,FS,1999-06-01,1999-10-09T04:00:00Z,1.766,60.963,None,None,Y,N,54.216,635.76,91.832
5950396,1,27567,F,Unknown,2012-03-31T04:00:00Z,2.301,58.151,None,None,Y,N,54.216,828.36,119.65200000000002
5892453,1,16485,FS,2008-10-02,2008-07-17T04:00:00Z,0.242,13.154,None,None,Y,N,54.216,87.12,12.584
5832592,1,2766,MN,2001-08-02,2001-05-04T04:00:00Z,0.354,26.626,None,None,N,N,54.216,127.44,18.407999999999998
5923471,1,22458,FS,2010-07-01,2010-05-22T04:00:00Z,0.219,14.061,None,None,Y,Y,54.216,78.84,11.388
5964480,1,30739,FS,2013-03-06,2013-03-01T05:00:00Z,0.468,33.793,None,None,Y,N,54.216,168.48000000000002,24.336000000000002
5859139,1,9545,F,Unknown,2002-04-02T05:00:00Z,1.374,42.411,None,None,N,N,54.216,494.64000000000004,71.44800000000001
5903810,1,18889,F,Unknown,2009-03-28T04:00:00Z,0.127,3.583,None,None,Y,Y,54.216,45.72,6.604
5851499,1,8005,MN,2004-06-23,2005-05-20T04:00:00Z,1.272,62.142,None,None,N,N,54.216,457.92,66.144
5845066,1,6701,FS,2005-05-26,2005-02-09T05:00:00Z,0.13,3.447,None,None,Y,Y,54.216,46.800000000000004,6.76
5830352,1,1916,F,Unknown,2003-03-16T05:00:00Z,0.177,4.899,None,None,Y,Y,54.216,63.72,9.203999999999999
5946745,1,26833,MN,2012-01-23,2012-07-18T04:00:00Z,1.065,46.811,None,None,Y,N,54.216,383.4,55.379999999999995
5924250,1,22601,FS,Unknown,2010-06-08T04:00:00Z,0.225,7.575,None,None,Y,N,54.216,81.0,11.700000000000001
5834232,1,3357,MN,2002-09-30,2002-09-09T04:00:00Z,0.343,26.263,None,None,N,N,54.216,123.48,17.836000000000002
5861567,1,9977,MN,2002-03-29,2002-03-29T05:00:00Z,0.374,29.302,None,None,N,Y,54.216,134.64,19.448
5942672,1,26039,MN,Unknown,2011-06-20T04:00:00Z,0.427,33.747,None,None,Y,N,54.216,153.72,22.204
5878853,1,13626,FS,2007-07-02,2007-07-02T04:00:00Z,0.33,16.057,None,None,N,Y,54.216,118.80000000000001,17.16
5907226,1,19576,MN,2009-09-04,2011-05-11T04:00:00Z,2.046,59.874,None,None,N,N,54.216,736.56,106.392
5848535,1,7397,F,Unknown,2006-02-01T05:00:00Z,0.171,6.35,None,None,Y,N,54.216,61.56,8.892000000000001
5894489,1,16931,FS,2009-04-29,2008-08-19T04:00:00Z,0.246,15.649,None,None,Y,Y,54.216,88.56,12.792
5894998,1,17043,MN,2010-11-09,2009-11-09T05:00:00Z,1.311,51.982,None,None,N,N,54.216,471.96,68.172
5878990,1,13655,MN,Unknown,2009-09-12T04:00:00Z,2.717,63.412,None,None,Y,N,54.216,978.12,141.284
5915572,1,21112,M,Unknown,2009-12-20T05:00:00Z,0.242,16.465,None,None,Y,Y,54.216,87.12,12.584
5879497,1,13762,F,Unknown,2007-06-06T04:00:00Z,0.231,11.839,None,None,Y,Y,54.216,83.16000000000001,12.012
5941744,1,25849,M,Unknown,2011-12-13T05:00:00Z,0.787,43.726,Normal,None,Y,N,54.216,283.32,40.924
5880151,1,13909,FS,2007-11-14,2007-06-30T04:00:00Z,0.221,10.206,None,None,Y,Y,54.216,79.56,11.492
5834073,1,3283,FS,2002-02-22,2002-09-03T04:00:00Z,0.925,39.463,None,None,Y,Y,54.216,333.0,48.1
5855387,1,8833,FS,2005-02-01,2005-02-24T05:00:00Z,0.519,32.573,None,None,N,N,54.216,186.84,26.988
5901685,1,18448,MN,2009-03-31,2009-07-07T04:00:00Z,0.733,49.895,None,None,N,N,54.216,263.88,38.116
5949608,1,27414,MN,2012-01-14,2013-02-10T05:00:00Z,1.474,55.52,Normal,None,N,N,54.216,530.64,76.648
5943024,1,26118,FS,Unknown,2011-06-27T04:00:00Z,1.748,54.159,None,None,N,N,54.216,629.28,90.896
5853372,1,8429,MN,2008-04-17,2005-08-11T04:00:00Z,1.782,74.843,None,None,Y,N,54.216,641.52,92.664
5933716,1,24326,MN,2012-03-12,2011-03-03T05:00:00Z,0.428,30.391,None,None,N,Y,54.216,154.07999999999998,22.256
5911493,1,20354,FS,2009-10-23,2011-09-29T04:00:00Z,2.333,48.534,None,None,Y,N,54.216,839.8800000000001,121.316
5829819,1,1718,M,Unknown,1999-12-11T05:00:00Z,2.002,41.277,None,Thin,N,N,54.216,720.7199999999999,104.10399999999998
5964969,1,30896,F,Unknown,2012-11-16T05:00:00Z,2.003,59.784,None,None,Y,N,54.216,721.08,104.156
5966622,1,31453,M,Unknown,2013-01-16T05:00:00Z,0.674,37.467,None,None,N,N,54.216,242.64000000000001,35.048
5841331,1,5841,FS,2002-04-02,2001-02-17T05:00:00Z,2.648,60.781,None,None,Y,N,54.216,953.2800000000001,137.696
5906648,1,19474,F,Unknown,2010-09-18T04:00:00Z,1.467,49.079,Normal,None,Y,N,54.216,528.12,76.284
5904352,1,19015,FS,2009-07-28,2009-06-13T04:00:00Z,0.363,23.315,None,None,Y,Y,54.216,130.68,18.875999999999998
5880290,1,13933,MN,Unknown,2009-04-10T04:00:00Z,2.076,53.841,None,None,Y,N,54.216,747.36,107.952
5914583,1,20919,M,Unknown,2009-12-19T05:00:00Z,0.424,27.669,None,None,Y,N,54.216,152.64,22.048
5840907,1,5695,FS,Unknown,2002-08-13T04:00:00Z,0.889,43.726,None,None,N,Y,54.216,320.04,46.228
5931969,1,23992,MN,2011-02-08,2010-11-08T05:00:00Z,0.214,9.389,None,None,N,N,54.216,77.03999999999999,11.128
5880185,1,13910,MN,2008-09-01,2008-09-03T04:00:00Z,1.365,55.338,None,None,N,N,54.216,491.4,70.98
5889204,1,15810,F,Unknown,2008-10-11T04:00:00Z,0.628,32.387,None,None,Y,N,54.216,226.08,32.656
5965714,1,31131,F,Unknown,2013-02-12T05:00:00Z,0.529,36.968,None,None,Y,Y,54.216,190.44,27.508000000000003
5917715,1,21487,M,Unknown,2010-06-25T04:00:00Z,0.572,43.772,None,None,N,N,54.216,205.92,29.743999999999996
5837523,1,4543,MN,Unknown,2000-10-10T04:00:00Z,2.27,51.71,None,Normal,N,N,54.216,817.2,118.04
5966599,1,31442,M,2013-04-08,2013-01-14T05:00:00Z,0.186,12.066,None,None,Y,Y,54.216,66.96,9.672
5950314,1,27550,M,Unknown,2011-12-09T05:00:00Z,0.501,43.999,None,None,Y,Y,54.216,180.36,26.052
5846023,1,6879,MN,2006-03-24,2006-11-22T05:00:00Z,1.026,59.874,Heavy,None,N,N,54.216,369.36,53.352000000000004
5939515,1,25430,MN,2011-04-09,2011-10-27T04:00:00Z,1.049,53.705,None,None,Y,Y,54.216,377.64,54.547999999999995
5864925,1,10655,FS,2005-05-20,2003-10-13T04:00:00Z,0.73,39.916,None,None,N,N,54.216,262.8,37.96
5896700,1,17418,FS,Unknown,2008-10-11T04:00:00Z,1.722,47.627,None,None,N,N,54.216,619.92,89.544
5932628,1,24117,M,Unknown,2010-11-07T04:00:00Z,0.392,20.956,None,None,N,N,54.216,141.12,20.384
5830958,1,2126,M,Unknown,2005-03-26T05:00:00Z,0.629,32.84,None,None,N,N,54.216,226.44,32.708
5922023,1,22198,FS,2010-06-02,2010-04-06T04:00:00Z,0.175,9.163,None,None,N,Y,54.216,62.99999999999999,9.1
5926077,1,22972,FS,2010-09-14,2010-07-17T04:00:00Z,0.356,17.735,None,None,Y,N,54.216,128.16,18.512
